mz_rt	C1	C2	C3	H1	H2	H3	QC01	QC02	QC03
200.0472_3.05	56206385.99	66251017.06	26060011.57	80891740.84	92524600.26	91753844.33	63173477.96	62413263.54	61898908.39
297.1165_0.74	1265679.209	1209503.123	1278232.326	0	0	0	581476.1924	612710.1944	578226.7671
163.1076_0.5	476581.8013	453339.7817	475754.9444	737.6718799	533.0347976	2283.30774	348035.9048	368352.4665	370709.6658
116.0708_1.09	2925062.796	3191524.777	2765825.617	3882198.41	3885041.914	3192616.028	3804432.801	3755887.109	3949673.014
187.0712_1.08	963816.7928	978530.6174	1013600.972	31280.56453	80307.04058	37374.09423	1357694.961	1334354.902	1346117.097
262.103_0.74	729479.3882	669101.8854	679770.083	0	0	5026.871866	363477.4794	348792.3398	373014.5115
337.1478_0.83	2507598.703	2405971.658	1708094.093	0	0	0	136329.5541	147892.2196	159913.9059
394.2061_1.79	163202.1402	119821.5716	232047.4995	494380.4791	333774.8206	262875.4368	191550.2537	173621.6284	155095.7705
251.1499_1.82	5170216.923	4555696.515	6561755.734	1439.819292	1141.048302	1302.24134	4634833.991	4354808.866	4642981.122
466.3144_6.19	367006.8104	344321.7603	614148.7321	28786.58616	48550.53584	42029.38104	214711.78	192178.4732	186425.1994
430.2217_6.18	186.8402421	0	0	3413473.026	3762232.7	2630261.753	2132464.512	1493803.967	984898.2978
449.3594_7.4	155572506.8	164166255	114587052.7	212754866.6	254677830.6	262324038.1	246271727.6	243725472.1	234270846.8
212.1028_1.79	3603816.126	3286245.694	4519877.571	264036.391	267619.7932	244169.1519	3667688.603	3529712.992	3688436.087
166.0861_2.34	118038112.2	106938655.4	152589564.7	762242.4772	1409924.427	871984.5892	92194003.73	92658051.17	94064885.41
345.1763_1.77	5281456.054	4762025.157	7666374.276	4127.400668	1213.882628	903.5604776	6660606.981	6543611.692	6735513.764
467.1857_0.82	1954218.566	1906453.938	1898700.631	0	0	0	327875.1169	338069.2849	315276.7948
173.092_0.8	3938565.333	3793449.526	4348120.641	4955.969355	21465.35623	9559.114737	2908072.962	2906712.67	2890998.449
246.181_0.74	1118476.514	1030335.12	1204382.994	56048.58593	50445.70933	51096.65844	608103.1786	607938.5653	624177.7756
138.0524_0.66	341138.8241	343084.7238	473958.6982	614385.2117	512632.8014	435870.9121	435373.7409	444892.6236	467148.715
147.0763_0.65	5692882.681	5733337.429	5344331.7	1367321.517	1610765.393	1237343.228	4466477.872	4649762.789	4695484.722
145.0494_0.46	2478528.812	2592503.81	1816745.666	2977949.702	3117262.817	2903214.292	2757531.594	2757635.282	3188003.221
152.0317_0.84	196034.9485	199785.5635	325177.2583	0	0	0	84801.0797	80881.37033	76144.10937
273.1844_0.24	239473.3643	223716.7111	150837.0946	485838.0384	440357.527	361778.2021	560413.8482	299035.4097	207522.2278
85.0288_0.39	73484.68845	71400.62322	53527.02083	80618.52468	90813.02716	81575.91781	72620.16398	72873.61906	79796.91292
103.1233_0.5	211802.8365	209095.8248	168284.5689	964.5210274	827.3144174	947.3302112	202551.6221	187653.9228	179611.5769
174.1349_0.54	236664.4127	244883.3658	130325.3171	10534.59895	10175.1989	7643.172359	245665.0263	230651.774	222783.1665
161.1283_0.54	33245.43099	33814.1441	18735.40183	99611.24232	129694.8621	179669.0804	50596.47579	43863.00632	43471.72781
240.0951_0.77	2011881.458	1846108.028	2158813.75	0	0	0	1045092.27	1130900.272	1144493.983
260.1965_0.77	830906.6245	769707.4537	680896.8312	0	0	0	290624.0465	266363.4069	281826.5803
176.1028_1.02	131580.7213	170189.6262	157739.8546	1435516.503	1174652.937	1189860.564	612922.2319	611239.7666	612702.1493
141.0657_0.77	156580.5449	149489.1936	126015.9647	0	3388.73223	0	21564.37671	31288.95271	35348.71076
186.1236_1.07	309997.6795	342197.3073	447239.1	0	0	1117.238715	311329.4323	295867.4971	281438.3126
217.1294_1.12	141536.9304	150883.4055	52446.80852	12820250.88	13102418.3	8481428.019	3479166.144	3415047.945	3541735.508
276.1009_1.28	128.4171636	0	23054.78115	2109816.704	2993564.911	2689952.575	877276.6866	919896.6146	905827.0972
175.1076_1.38	11903578.73	10960745.52	18395698.52	452211.7904	560923.0072	387973.0211	12023979.06	12466934.98	12541932.12
